kompleks,zbirnyk,nazva_zbirnyka,dstu,grupa,nazva_grupy,shifr,nazva_normy,odynytsya,priorytet_prytulok,trud_lyud_god,seredniy_rozryad,mashynisty_lyud_god,kilkist_mashyn,kilkist_materialiv,vartist_trudu_uah,vartist_mashyn_uah,vartist_materialiv_uah,priami_vytraty_uah
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,True,13.824,3.0,21.824,2,2,3713.92,21390.8,11315.52,36420.24
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,True,12.081,3.0,20.081,2,2,3356.6,19692.7,10412.08,33461.38
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3 у відвал",1000 м3,True,12.492,3.0,20.492,2,2,3440.86,20065.9,10624.99,34131.75
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,True,12.443,3.0,20.443,2,2,3430.82,20021.1,10599.95,34051.87
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,True,11.459,3.0,19.459,2,2,3229.09,19056.3,10089.41,32374.8
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3 у відвал",1000 м3,True,14.705,3.0,22.705,2,2,3894.52,22261.5,11772.4,37928.42
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,True,15.794,3.0,23.794,2,2,4117.77,23271.0,12337.5,39726.27
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,True,10.744,3.0,18.744,2,2,3082.52,18331.3,9718.54,31132.36
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-9,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,65 м3 у відвал",1000 м3,True,10.103,3.0,18.103,2,2,2951.12,17729.1,9386.66,30066.88
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-10,"Розробка ґрунту 1 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,True,14.229,3.0,22.229,2,2,3796.94,21739.0,11526.54,37062.48
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-11,"Розробка ґрунту 2 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,True,13.177,3.0,21.177,2,2,3581.28,20769.9,10980.02,35331.2
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами у відвал,1-1-12,"Розробка ґрунту 3 групи екскаватором з ковшем до 1,0 м3 у відвал",1000 м3,True,13.3,3.0,21.3,2,2,3606.5,20872.8,11043.45,35522.75
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,True,10.782,3.0,18.782,2,2,3090.31,18402.7,9738.03,31231.04
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,True,12.045,3.0,20.045,2,2,3349.23,19650.0,10393.19,33392.42
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,True,12.753,3.0,20.753,2,2,3494.36,20363.1,10760.4,34617.86
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,True,10.034,3.0,18.034,2,2,2936.97,17641.6,9350.08,29928.65
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,True,11.719,3.0,19.719,2,2,3282.39,19285.8,10224.22,32792.41
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-6,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,65 м3",1000 м3,True,13.6,3.0,21.6,2,2,3668.0,21132.0,11199.6,35999.6
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-7,"Розробка ґрунту 1 групи з навантаженням, ківш до 1,0 м3",1000 м3,True,13.808,3.0,21.808,2,2,3710.64,21359.1,11307.56,36377.3
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспорт,1-2-8,"Розробка ґрунту 2 групи з навантаженням, ківш до 1,0 м3",1000 м3,True,11.051,3.0,19.051,2,2,3145.45,18676.5,9877.71,31699.66
