npp,shifr,nazva,komentar_obsyagu,odynytsya,kilkist,tsina_za_od_uah,suma_uah,trud_lyud_god,trud_vsogo_lyud_god,zbirnyk,dstu
1,ЕД1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3 у відвал","Котлован під будівлю, ґрунт 2 гр., екскаватор 0,4 м3 (1000 м3)",1000 м3,0.45,32374.8,14568.66,11.459,5.16,Земляні роботи,ДСТУ Б Д.2.2-1:2012
2,ЕД1-3-7,Планування площ бульдозером,Планування майданчика бульдозером (1000 м2),1000 м2,1.2,10325.15,12390.18,15.045,18.05,Земляні роботи,ДСТУ Б Д.2.2-1:2012
3,ЕД1-5-2,Засипання пазух котлованів бульдозером з ущільненням,Зворотне засипання пазух (100 м3),100 м3,2.5,12291.48,30728.7,110.574,276.44,Земляні роботи,ДСТУ Б Д.2.2-1:2012
4,ЕД1-5-6,Підсипання піщаної подушки під фундаменти з ущільненням,Піщана подушка під фундаменти (100 м3),100 м3,0.8,9935.94,7948.75,98.123,78.5,Земляні роботи,ДСТУ Б Д.2.2-1:2012
5,ЕД1-6-2,Перевезення ґрунту автосамоскидами на відстань до 1 км,Вивезення зайвого ґрунту до 1 км (1000 м3),1000 м3,0.35,1374.84,481.19,12.893,4.51,Земляні роботи,ДСТУ Б Д.2.2-1:2012
6,ЕД6-1-7,Улаштування бетонної підготовки під фундаменти,Бетонна підготовка (100 м3),100 м3,0.35,455643.12,159475.09,833.24,291.63,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
7,ЕД6-2-1,Улаштування стрічкових фундаментів залізобетонних,Стрічкові фундаменти ЗБК (100 м3),100 м3,0.9,442608.55,398347.7,696.034,626.43,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
8,ЕД6-2-3,Улаштування фундаментних плит залізобетонних товщиною до 300 мм,Фундаментна плита/ділянки плити (100 м3),100 м3,0.5,448638.58,224319.29,759.508,379.75,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
9,ЕД6-3-2,Улаштування стін підвалів залізобетонних товщиною 200–400 мм,Стіни підвалу/техпідпілля (100 м3),100 м3,0.4,444942.13,177976.85,720.598,288.24,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
10,ЕД6-5-2,Улаштування перекриттів безбалкових товщиною 160–200 мм,Перекриття монолітні 160–200 мм (100 м3),100 м3,1.1,40827.78,44910.56,394.13,433.54,Бетонні та залізобетонні конструкції монолітні,ДСТУ Б Д.2.2-6:2012
