kompleks,zbirnyk,nazva_zbirnyka,dstu,grupa,nazva_grupy,shifr,nazva_normy,odynytsya,priorytet_prytulok,trud_lyud_god,seredniy_rozryad,mashynisty_lyud_god,kilkist_mashyn,kilkist_materialiv,vartist_trudu_uah,vartist_mashyn_uah,vartist_materialiv_uah,priami_vytraty_uah
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,True,1.389,3.0,1.792,2,2,329.08,3126.36,1651.9,5107.34
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,True,1.035,3.0,1.526,2,2,266.19,2683.25,1422.51,4371.95
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,True,1.042,3.0,1.532,2,2,267.51,2693.1,1427.41,4388.02
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-4,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,4 м3",1000 м3,True,1.162,3.0,1.622,2,2,288.81,2842.51,1504.88,4636.2
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-5,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,4 м3",1000 м3,True,1.105,3.0,1.579,2,2,278.66,2771.53,1468.26,4518.45
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-6,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,4 м3",1000 м3,True,1.129,3.0,1.597,2,2,282.92,2801.72,1483.54,4568.18
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-7,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,65 м3",1000 м3,True,1.145,3.0,1.609,2,2,285.76,2821.55,1493.9,4601.21
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,1,Розробка ґрунту екскаваторами в відвал,1-1-8,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,65 м3",1000 м3,True,1.312,3.0,1.734,2,2,315.38,3030.35,1602.46,4948.19
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспортні засоби,1-2-1,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,4 м3",1000 м3,True,1.223,3.0,1.667,2,2,299.56,2918.26,1544.5,4762.32
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспортні засоби,1-2-2,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,4 м3",1000 м3,True,1.277,3.0,1.708,2,2,309.19,2986.38,1579.31,4874.88
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспортні засоби,1-2-3,"Розробка ґрунту 3 групи з навантаженням, ківш до 0,4 м3",1000 м3,True,1.395,3.0,1.796,2,2,330.09,3133.36,1655.56,5119.01
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспортні засоби,1-2-4,"Розробка ґрунту 1 групи з навантаженням, ківш до 0,65 м3",1000 м3,True,1.052,3.0,1.539,2,2,269.23,2705.2,1433.52,4407.95
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,2,Розробка ґрунту екскаваторами з навантаженням у транспортні засоби,1-2-5,"Розробка ґрунту 2 групи з навантаженням, ківш до 0,65 м3",1000 м3,True,1.026,3.0,1.519,2,2,264.56,2671.97,1416.43,4352.96
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,3,Розробка ґрунту бульдозерами,1-3-1,Розробка і переміщення ґрунту 1 групи бульдозером до 10 м,1000 м3,True,1.083,3.0,1.389,1,2,255.67,1180.58,720.39,2156.64
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,3,Розробка ґрунту бульдозерами,1-3-2,Розробка і переміщення ґрунту 2 групи бульдозером до 10 м,1000 м3,True,1.051,3.0,1.367,1,2,250.22,1161.99,708.82,2121.03
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,3,Розробка ґрунту бульдозерами,1-3-3,Розробка і переміщення ґрунту 1 групи бульдозером до 20 м,1000 м3,True,0.974,3.0,1.316,1,2,237.29,1118.71,682.57,2038.57
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,3,Розробка ґрунту бульдозерами,1-3-4,Розробка і переміщення ґрунту 2 групи бульдозером до 20 м,1000 м3,True,0.867,3.0,1.245,1,2,219.31,1057.84,645.37,1922.52
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,3,Розробка ґрунту бульдозерами,1-3-5,Планування площ бульдозером,1000 м2,True,0.989,3.0,1.326,1,2,239.81,1127.17,687.48,2054.46
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,4,Розробка ґрунту вручну,1-4-1,Розробка ґрунту 1 групи вручну в котлованах,100 м3,True,46.476,2.5,0.0,0,1,4415.22,0,0,4415.22
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,4,Розробка ґрунту вручну,1-4-2,Розробка ґрунту 2 групи вручну в котлованах,100 м3,True,46.748,2.5,0.0,0,1,4441.06,0,0,4441.06
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,4,Розробка ґрунту вручну,1-4-3,Розробка ґрунту 3 групи вручну в котлованах,100 м3,True,52.633,2.5,0.0,0,1,5000.14,0,0,5000.14
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,4,Розробка ґрунту вручну,1-4-4,Розробка ґрунту 1 групи вручну в траншеях,100 м3,True,52.216,2.5,0.0,0,1,4960.52,0,0,4960.52
Д.2.2,1,Земляні роботи,ДСТУ Б Д.2.2-1:2012,4,Розробка ґрунту вручну,1-4-5,Розробка ґрунту 2 групи вручну в траншеях,100 м3,True,49.601,2.5,0.0,0,1,4712.1,0,0,4712.1
