shifr,nazva_normy,odynytsya,typ_resursu,kod,nazva_resursu,odynytsya_resursu,vytrata,tsina_uah,vartist_uah,priorytet_prytulok
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.7918,1200,2150.18,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.3945,700,976.18,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,27.08,55,1489.4,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.3542,120,162.5,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.389,95.0,131.96,True
1-1-1,"Розробка ґрунту 1 групи екскаватором з ковшем до 0,25 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.792,110.0,197.12,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.526,1200,1831.14,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2173,700,852.11,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.32,55,1282.6,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1659,120,139.91,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.035,95.0,98.32,True
1-1-2,"Розробка ґрунту 2 групи екскаватором з ковшем до 0,25 м3",1000 м3,труд_машиністів,Т2,Труд машиністів,люд.-год,1.526,110.0,167.86,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,1.5319,1200,1838.23,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,машина,С311-2,Автосамоскид 10 т,маш.-год,1.2212,700,854.87,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,матеріал,С300-1,Пальне дизельне (орієнтовно),л,23.4,55,1287.0,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,матеріал,С300-2,Мастильні матеріали,кг,1.1701,120,140.41,True
1-1-3,"Розробка ґрунту 3 групи екскаватором з ковшем до 0,25 м3",1000 м3,труд_робітників,Т1,"Труд робітників, розряд 3.0",люд.-год,1.042,95.0,98.99,True
