typ,kod,nazva,odynytsya,kilkist,tsina_uah,vartist_uah
труд,Т1,Труд робітників-будівельників,люд.-год,25007.9,,
труд,Т2,Труд машиністів,люд.-год,261.1,,2404481.84
машина,С210-1,Кран / бетононасос,маш.-год,57.34,1500,86013.33
машина,С212-1,Підйомник / кран (подача матеріалів),маш.-год,64.02,900,57618.0
машина,С210-1,Кран автомобільний 10 т,маш.-год,7.2,1400,10080.0
машина,С211-1,Вібратор глибинний,маш.-год,76.46,120,9174.93
машина,С201-1,Бульдозер 79 кВт,маш.-год,10.24,850,8706.01
машина,С202-1,"Екскаватор одноковшовий 0,4–0,65 м3",маш.-год,4.89,1200,5869.8
машина,С311-2,Автосамоскид 10 т,маш.-год,3.87,700,2705.54
машина,С201-2,Бульдозер / трамбівка,маш.-год,0.4,600,240.0
машина,С214-1,Пальник газовий покрівельний,маш.-год,3.76,50,188.0
машина,С221-m,Автосамоскид,маш.-год,0.26,700,179.55
машина,С220-m,Коток / віброплита,маш.-год,0.34,500,171.75
матеріал,С130-1,Блоки газобетонні,м3,419.73,2800,1175244.0
матеріал,С120-1,Бетон товарний В15–В25,м3,227.46,3200,727872.0
матеріал,С194-1,Фітинги та арматура,компл,1954.0,350,683900.0
матеріал,С190-1,Прилад санітарний / опалювальний,шт,161.0,3500,563500.0
матеріал,С156-1,Пиломатеріали хвойні,м3,38.5,12000,462000.0
матеріал,С174-1,Матеріал рулонний наплавлюваний,м2,2162.0,180,389160.0
матеріал,С167-1,Плитка керамічна / керамограніт,м2,798.0,420,335160.0
матеріал,С170-1,Металочерепиця / профнастил,м2,1045.0,320,334400.0
матеріал,С193-1,Труби (сталь/ППР/ПВХ/ПЕ),м,2051.7,120,246204.0
матеріал,С188-1,Суміш штукатурна,кг,27600.0,8,220800.0
матеріал,С162-1,Лінолеум / ПВХ-покриття,м2,472.5,450,212625.0
матеріал,С131-1,Клейова суміш для газобетону,кг,10287.5,18,185175.0
матеріал,С195-1,Кріплення / ізоляція,компл,1954.0,90,175860.0
матеріал,С165-1,Ламінат / дошка / паркет,м2,237.6,650,154440.0
матеріал,С154-1,"Гіпсокартон 12,5 мм",м2,690.0,180,124200.0
матеріал,С137-1,Цегла керамічна,шт,9180.0,12,110160.0
матеріал,С210-m,Виріб електроустановочний / щит / світильник,шт,308.0,350,107800.0
матеріал,С191-1,Підводка / кріплення / арматура,компл,161.0,650,104650.0
матеріал,С202-m,Повітроводи оцинковані,м2,346.5,280,97020.0
матеріал,С160-1,Суміш для стяжки,м3,34.0,2800,95200.0
матеріал,С180-1,Плитка облицювальна,м2,231.0,380,87780.0
матеріал,С183-1,Фарба водоемульсійна,л,562.5,140,78750.0
матеріал,С200-1,Обладнання вентиляції/кондиціювання,шт,4.0,18000,72000.0
матеріал,С168-1,Клей плитковий,кг,5010.0,14,70140.0
матеріал,С214-m,Кабель / провід силовий,м,1155.0,55,63525.0
матеріал,С182-1,Шпаклівка,кг,2700.0,22,59400.0
матеріал,С155-1,"Шурупи, стрічка, шпаклівка",компл,600.0,90,54000.0
матеріал,С153-1,Профіль CD/UD,м,1920.0,25,48000.0
матеріал,С233-1,Щебінь / відсів / асфальтобетон / плитка,м3,22.5,1800,40500.0
матеріал,С203-m,"Фланці, ущільнення, кріплення",компл,330.0,120,39600.0
матеріал,С175-1,Праймер бітумний,л,564.0,70,39480.0
матеріал,С181-2,Ґрунтовка,л,460.0,85,39100.0
матеріал,С196-1,Кільця/елементи колодязя збірні,компл,6.0,6500,39000.0
матеріал,С172-1,Плівки / ущільнювачі,м2,1045.0,35,36575.0
матеріал,С132-1,Арматура для армопоясів / сітка,кг,1028.75,35,36006.25
матеріал,С181-1,Ґрунтовка,л,337.5,85,28687.5
матеріал,С216-m,Кріплення,компл,1100.0,25,27500.0
матеріал,С169-1,Затирка,кг,512.0,45,23040.0
матеріал,С173-1,Елементи водостоку / планки,м,126.0,180,22680.0
матеріал,С186-1,Каркас / комплектуючі стелі,м2,84.0,250,21000.0
матеріал,С215-m,Труба/короб/гофра,м,1155.0,18,20790.0
матеріал,С171-1,Саморізи покрівельні,шт,7600.0,2.5,19000.0
матеріал,С232-1,Насіння / рулонний газон / розсада,м2,385.0,45,17325.0
матеріал,С189-1,Сітка штукатурна (за потреби),м2,690.0,25,17250.0
матеріал,С187-1,Плити / полотно стелі,м2,84.0,200,16800.0
матеріал,С197-1,Люк чавунний / решітка,шт,6.0,2800,16800.0
матеріал,С161-1,Ґрунтовка,л,170.0,90,15300.0
матеріал,С163-1,Клей для лінолеуму,кг,180.0,85,15300.0
матеріал,С192-1,Герметик / ущільнювачі,компл,161.0,80,12880.0
матеріал,С211-m,"Клемники, кріплення",компл,308.0,40,12320.0
матеріал,С231-2,Ґрунт рослинний,м3,17.5,600,10500.0
матеріал,С166-1,Підкладка,м2,231.0,45,10395.0
матеріал,С201-m,"Кронштейни, фреон-траса, дренаж",компл,4.0,2500,10000.0
матеріал,С164-1,Плінтус ПВХ,м,180.0,55,9900.0
